,email
59,"* IMMEDIATE ACTION REQUIRED - Do Not Delete *is asked to gather input on the participant's own management styles andYou have been requested to provide feedback for a participant attendingDirect Report assessment, or Peer/Colleague assessment) will be combinedwith the input of others and used by the program participant to develop anIt is important that you complete this assessmentwill be asked to cancel his/her attendance if not enough feedback isreceived.  Therefore, your feedback is critical.To complete your assessment, please click on the following link or simplyopen your internet browser and go to:Your unique ID for each participant you have been asked to rate is:If you experience technical problems, please call Dennis Ward atFSD Data Services, 713-942-8436.  If you have any questions about this you may contact Debbie Nowak at Enron, 713-853-3304, or Christi Smith atThank you for your participation."
60," I stumbled across some other duplexes for sale on the same street. that were built by Reagan Lehmann.  22 Units were sold for  around $2 million. ($182,000/duplex).  I spoke to Reagan and he indicated that he had more units under construction that would be  available in the 180's.  Are the units he is selling significantly different from yours?  He mentioned some of the units are the 1308 floor As far as being an investor in a new project, I am still very interested.  "
61,"Outlook Migration Team@ENRONSubject:=094-URGENT - OWA Please print this now.REASONS FOR USING OUTLOOK WEB ACCESS (OWA)1. Once your mailbox has been migrated from Notes to Outlook, the Outlook c=lient will be configured on your computer.After migration of your mailbox, you will not be able to send or recieve ma=il via Notes, and you will not be able to start using Outlook until it is c=onfigured by the Outlook Migration team the morning after your mailbox is m=igrated.  During this period, you can use Outlook Web Access (OWA) via your= web browser (Internet Explorer 5.0) to read and send mail.o-Do entries imported from Notes will not be available until the Outlook cl=ient is configured on your desktop.After your Outlook client is configured, you can use Outlook Web Access (OW=ing to the Enron network (LAN).  There are future plans to make OWA availab=le from your home or when traveling abroad.er id"" for the user name and your NT password to logon to OWA and click OK.=  You will now be able to view your mailbox.PLEASE NOTE:  There are some subtle differences in the functionality betwee=n the Outlook and OWA clients.  You will not be able to do many of the thin=he functions NOT available via OWA:Features NOT available using OWA:If you have questions or concerns using the OWA client, please contact the =Outlook 2000 question and answer Mailbox at:Otherwise, you may contact the Resolution Center at:Thank you,"
62,
63,"have been preaching the tremendous growth described below for the last year.  The utility infrastructure simply cannot handle these loads at the distribution level and ultimatley distributed generation will be required for The City of Austin, TX has experienced 300+ MW of load growth this year due to server farms and technology companies.  There is a 100 MW server farm trying to hook up to HL&P as we speak and they cannot deliver for 12 months awakening in the next 2-3 years.COMMUNICATIONS@ENRONInternet Data Gain Is a Major Power Drain on                  In 1997, a little-known Silicon Valley company called Exodus                       The mission was to handle the Internet traffic and                        Fast-forward to summer 2000. Exodus is now wrapping up                   original facility. Sitting at the confluence of several                   Exodus plant will consume enough power for a small town and                        Exodus is not the only company building massive data                   HostPro -- are looking for facilities here that will house                        It is a big business that could have an effect on server farms, are                  have expressed concern over whether Seattle City Light and Puget Sound                  Energy can handle the power necessary to run these 24-hour,                        ""We are talking to about half a dozen customers that are requesting 445said Karl                  data center has some utility veterans scratching their                        Puget Sound Energy last week asked the Washington                   tariff is designed to protect the company's existing necessary to support                  the projects. Those base stations could cost as much as $20                   Karzmar said.                        Not to be left behind, Seattle City Light plans to bring up the data centerfacilities run 24 hours a                  day, seven days a week, and therefore could become a they could                  potentially flood the utilities with exorbitant capital                        Who will pay for those expenditures and what it will mean for power rates                  in the area is still open to debate.                        ""These facilities are what we call extremely dense loads,"" said Bob Royer,We have data                  center projects in front of us that are asking for 30, 40 complex in Tukwila is                  one of the biggest data centers. Sabey Corp. re-purchased                   Defense. In less than 12 months, the developer has leased country,"" boasts LaurentSabey has become anclaims his firm is                       As more people access the Internet and conduct                   such as listening to online music, Poole said the need for                   Seattle continues to escalate. space is growing at acausing similarspace, plans to nearly                  have decided to outsource the operations to companies such                   may be better prepared for dealing with Internet traffic construction and we plan todemand right now                       The booming market for co-location space has left some                   industry perplexed.                        ""It accelerates in a quantum way what you have to do to serve the growth,""                  said Seattle City Light's Royer. ""The utility industry is almost stunned by this, in"
64, Can you pull Tori K.'s and Martin Cuilla's resumes and past performance The commercial support people that you and Hunter want to make commercial 
65,
66,"Please respond to <christi.smith@lrinet.com>We have not received your completed Team Selection information.  It isoffice) asap.  We cannot start your administration without this information,and your raters will have less time to provide feedback for you.Thank you for your assistance.Hi Phillip.  We appreciate your prompt attention and completing the TeamIdeally, we needed to receive your team of raters on the Team Selection formwe sent you.  The information needed is then easily transferred into thedatabase directly from that Excel spreadsheet.  If you do not have theability to complete that form, inserting what you listed below, we stillrequire additional information.We need each person's email address.  Without the email address, we cannotemail them their internet link and ID to provide feedback for you, nor canwe send them an automatic reminder via email.  It would also be good to haveeach person's phone number, in the event we need to reach them.So, we do need to receive that complete TS Excel spreadsheet, or if you needto instead, provide the needed information via email.Thank you for your assistance Phillip."
67, Here is a spreadsheet detailing our September Socal trades. (I did not distinguish between buys vs. sells.)
68,
69,Report.  It shows 410.  But again that might be just what the two utilities receive.
70, Can you give access to the new west power site to Jay Reitmeyer.  He is an 
71,"Please respond to <christi.smith@lrinet.com>Hi Phillip.  We appreciate your prompt attention and completing the TeamIdeally, we needed to receive your team of raters on the Team Selection formwe sent you.  The information needed is then easily transferred into thedatabase directly from that Excel spreadsheet.  If you do not have theability to complete that form, inserting what you listed below, we stillrequire additional information.We need each person's email address.  Without the email address, we cannotemail them their internet link and ID to provide feedback for you, nor canwe send them an automatic reminder via email.  It would also be good to haveeach person's phone number, in the event we need to reach them.So, we do need to receive that complete TS Excel spreadsheet, or if you needto instead, provide the needed information via email.Thank you for your assistance Phillip."
72,"Outlook Migration Team@ENRONTo ensure that you experience a successful migration from Notes to Outlook,= it is necessary to gather individual user information prior to your date o=f migration.  Please take a few minutes to completely fill out the followin=g survey.  When you finish, simply click on the 'Reply' button then hit 'Se=nd'  Your survey will automatically be sent to the Outlook 2000 Migration M=Thank you.Are you responsible for updating anyone else's address book? =20Is anyone else responsible for updating your address book? =20Do you have any Distribution Groups that Messaging maintains for you (for m=Please list all Notes databases applications that you currently use: =20In our efforts to plan the exact date/time of your migration, we also will =need to know:Will you be out of the office in the near future for vacation, leave, etc?"
73,
74, Here is a spreadsheet detailing our September Socal trades. (I did not distinguish between buys vs. sells.)
75, What were you doing to your apartment?  Are you setting up a studio? The kids are back in school.  Otherwise just work is going on here.
76,Why are his requests coming to me?
77, Here is a spreadsheet detailing our September Socal trades. (I did not distinguish between buys vs. sells.)
78, Were you able to log in to enron online and find socal today? I will follow up with a list of our physical deals done yesterday and today.
79, Can you send me your address in College Station.
80,
81," The following is a guest password that will allow you temporary view only access to EnronOnline.  Please note, the user ID and password are CASE Log in to www.enrononline.com and install shockwave using instructions below.  I have set up a composite page with western basis and cash prices to help you filter through the products.  The title of the composite page is Mark's Page.  If you have any problems logging in you can call me at The Shockwave installer can be found within ""About EnronOnline"" on the home page.  After opening ""About EnronOnline"", using right scroll bar, go to the loading Shockwave, shut down and reopen browser (i.e. Microsoft Internet I hope you will find this site useful."
82," Attached is a spreadsheet that lists the end of day midmarkets for socal basis and socal/san juan spreads.  I listed the days during bidweek that  The following observations can be made:  July 1.  The basis market  anticipated a Socal/San Juan spread of .81 vs    2.  Perceived index was 4.95 vs actual of 4.91   3.  Socal Gas Daily Swaps are trading at a significant premium.  Aug. 1.  The basis market  anticipated a Socal/San Juan spread of 1.04 vs    2.  Perceived index was 4.54 vs actual of 4.49   4.  Socal Gas Daily Swaps are trading at a significant premium. Enron Online will allow you to monitor the value of financial swaps against the index, as well as, spreads to other locations.  Please call with any "
83,You should have received updated numbers from Keith Holst.  Call me if you did not receive them.
84, Can you give me more details or email  the plan prior to meeting?  What do I need to provide besides headcount? Otherwise any afternoon next week would be fine
85," Please add Mike Grigsby to the distribution. On another note, do you have any idea how Patti is holding up?"
86," With regard to Tori Kuykendall, I would like to promote her to commercial associate.  Her duties since the beginning of the year have been those of a commercial manager.  I have no doubt that she will compare favorably to Hunter would like Martin handled the same as Tori. Let me know if there are any issues."
87,Can you stop by and set up my reuters.
88," The rent roll spreadsheet is starting to look better.  See if you can add  1.  Use a formula in column E.  Add the value in column C to column D.  It should read =c6+d6.  Then copy this formula to the rows below. 2.  Column H needs a formula.  Subtract amount paid from amount owed.   3.  Column F is filled with the #### sign.  this is because the column width is too narrow.  Use you mouse to click on the line beside the        letter F.  Hold the left mouse button down and drag the column wider. 4.  After we get the rent part fixed, lets bring the database columns up to "
89, I got your email with the attachment.  Let's work together today to get this done
90,you have my approval
91, We can discuss your email later.  How is progress on creating the spreadsheets.  You will probably need to close the file before you attach to an email.  It is 2:00.  I really want to make some progress on these two 
92,Then email the file back.
93,"Open the ""utility"" spreadsheet and try to complete the analysis of whether it is better to be a small commercial or a medium commercial (LP-1).described in the spreadsheet.  This is a great chance for you to practice excel."
94,"Phillip,Janel Guerrero@ENRONSteve has asked that you update the power point below so that it reflects all of the ""stupid regulatory/legislative decisions"" since the beginning of the year.  Ken wants to have this updated chart in his briefing book for next week's ""Ken Lay Tour"" to CA.  He also wants a forward price curve for both gas and power in CA.  Can we get these three documents by Monday afternoon?  "
95," Thanks for the research report on EOG.  Here are my observations:  Actual gas prices are around $1.00/mcf higher and rising.  That is just a back of the envelope valuation based on gas prices.  I think crude price are undervalued by the tune of $10/share.looks like the best stock to own Also can you send me a report on Calpine, Thank you,"
96,"           We have been working on different apartments today and having tolisten to different, people about what Mary is saying should i be worried?ants seem to be invading my apartment.You got my other fax's Wade is workingon the bulletin board that I need up so that I can let tenants know aboutwhat is going on.Gave #25 a notice about having to many people staying inthat apt and that problem has been resolved.Also I have a tenant in #29 thatwill see how that goes                                                  call you tomorrow"
97,               The a/c I bought today for #17 cost $166.71 pd by ck#1429FFICE CK # 1427=108.25 FROM sTEELMAN OFFICE PRODUC
98,        Today was one of those days because Wade had to go pay his fine andI had to go take him that takes alot of time out of my schedule.If you get ahe can go get what ever he needs. Tomorrow gary is going to be here.I haveto go but Iwill E-Mail you tomorrow
99,"I checked into exercising options with Smith Barney, but Enron has some kind of exclusive with Paine Weber.  I am starting to exercise now, but I am going to use the proceeds to buy another apartment complex.    What do you think about selling JDSU and buying SDLI? Also can you look at EOG as a play on rising oil and gas prices."
